Time Period,GDP Growth Rate,Recession
2020-01-01,0.3,False
2020-02-01,-0.5,True
2020-03-01,-7.0,True
2020-04-01,-20.9,True
2020-05-01,3.2,False
2020-06-01,9.0,False
2020-07-01,7.4,False
2020-08-01,2.0,False
2020-09-01,1.1,False
2020-10-01,0.6,False
2020-11-01,-1.8,True
2020-12-01,1.8,False
2021-01-01,-2.9,True
2021-02-01,0.7,False
2021-03-01,2.3,False
2021-04-01,3.1,False
2021-05-01,1.3,False
2021-06-01,1.0,False
2021-07-01,-0.2,True
2021-08-01,0.9,False
2021-09-01,0.6,False
2021-10-01,0.1,False
2021-11-01,1.0,False
2021-12-01,0.1,False
2022-01-01,0.1,False
2022-02-01,0.0,False
2022-03-01,0.1,False
2022-04-01,-0.2,True
2022-05-01,0.7,False
2022-06-01,-0.9,True
2022-07-01,0.3,False
2022-08-01,0.0,False
2022-09-01,-0.8,True
2022-10-01,0.5,False
2022-11-01,0.1,False
2022-12-01,-0.5,True
